map,bucket,scenario,start_x,start_y,heuristic,density,avg_runtime_ms,avg_nodes_expanded,success
maze512-16-0.map,3,32,454,281,euclidean,0.0615234375,8.69450569152832,3481.0,True
maze512-16-0.map,3,33,175,464,manhattan,0.0615234375,0.09012222290039062,44.0,True
maze512-16-0.map,3,33,175,464,euclidean,0.0615234375,0.11534690856933594,55.0,True
maze512-16-0.map,3,34,204,105,manhattan,0.0615234375,0.06399154663085938,34.0,True
maze512-16-0.map,3,34,204,105,euclidean,0.0615234375,0.1028299331665039,46.0,True
maze512-16-0.map,3,35,134,294,manhattan,0.0615234375,0.055146217346191406,25.0,True
maze512-16-0.map,3,35,134,294,euclidean,0.0615234375,0.05996227264404297,25.0,True
maze512-16-0.map,3,36,146,490,manhattan,0.0615234375,1.0974645614624023,608.0,True
maze512-16-0.map,3,36,146,490,euclidean,0.0615234375,1.5026330947875977,791.0,True
maze512-16-0.map,3,37,371,167,manhattan,0.0615234375,0.23849010467529297,131.0,True
maze512-16-0.map,3,37,371,167,euclidean,0.0615234375,0.3169059753417969,167.0,True
maze512-16-0.map,3,38,435,287,manhattan,0.0615234375,0.1725912094116211,90.0,True
maze512-16-0.map,3,38,435,287,euclidean,0.0615234375,0.23436546325683594,116.0,True
maze512-16-0.map,3,39,367,151,manhattan,0.0615234375,0.06914138793945312,31.0,True
maze512-16-0.map,3,39,367,151,euclidean,0.0615234375,0.07469654083251953,31.0,True
maze512-16-0.map,4,40,317,435,manhattan,0.0615234375,13.624739646911621,6683.0,True
maze512-16-0.map,4,40,317,435,euclidean,0.0615234375,18.66917610168457,7753.0,True
maze512-16-0.map,4,41,452,510,manhattan,0.0615234375,1.5642404556274414,801.0,True
maze512-16-0.map,4,41,452,510,euclidean,0.0615234375,1.6272544860839844,852.0,True
maze512-16-0.map,4,42,423,169,manhattan,0.0615234375,12.38565444946289,6197.0,True
maze512-16-0.map,4,42,423,169,euclidean,0.0615234375,16.673970222473145,6992.0,True
maze512-16-0.map,4,44,340,152,manhattan,0.0615234375,0.5953073501586914,175.0,True
maze512-16-0.map,4,44,340,152,euclidean,0.0615234375,0.7904767990112305,222.0,True
maze512-16-0.map,4,45,369,187,manhattan,0.0615234375,17.12195873260498,7610.0,True
maze512-16-0.map,4,45,369,187,euclidean,0.0615234375,21.199917793273926,8621.0,True
maze512-16-0.map,4,46,469,248,manhattan,0.0615234375,17.73374080657959,7581.0,True
maze512-16-0.map,4,46,469,248,euclidean,0.0615234375,23.796582221984863,9294.0,True
maze512-16-0.map,4,47,461,251,manhattan,0.0615234375,16.067218780517578,7564.0,True
maze512-16-0.map,4,47,461,251,euclidean,0.0615234375,20.983505249023438,9039.0,True
maze512-16-0.map,4,48,495,181,manhattan,0.0615234375,0.33588409423828125,175.0,True
maze512-16-0.map,4,48,495,181,euclidean,0.0615234375,0.6220817565917969,233.0,True
maze512-16-0.map,4,49,473,172,manhattan,0.0615234375,434.8736047744751,165942.0,True
maze512-16-0.map,4,49,473,172,euclidean,0.0615234375,479.7975778579712,170606.0,True
maze512-16-0.map,5,50,94,57,manhattan,0.0615234375,0.40123462677001953,214.0,True
maze512-16-0.map,5,50,94,57,euclidean,0.0615234375,0.5548477172851562,285.0,True
maze512-16-0.map,5,51,3,325,manhattan,0.0615234375,0.5730867385864258,335.0,True
maze512-16-0.map,5,51,3,325,euclidean,0.0615234375,0.8417129516601562,400.0,True
maze512-16-0.map,5,52,244,278,manhattan,0.0615234375,0.3294229507446289,114.0,True
maze512-16-0.map,5,52,244,278,euclidean,0.0615234375,0.33860206604003906,152.0,True
maze512-16-1.map,0,0,88,53,manhattan,0.061351776123046875,0.010800361633300781,3.0,True
maze512-16-1.map,0,0,88,53,euclidean,0.061351776123046875,0.009918212890625,3.0,True
maze512-16-1.map,0,1,260,242,manhattan,0.061351776123046875,0.014257431030273438,5.0,True
maze512-16-1.map,0,1,260,242,euclidean,0.061351776123046875,0.013661384582519531,5.0,True
maze512-16-1.map,0,2,40,179,manhattan,0.061351776123046875,0.007867813110351562,3.0,True
maze512-16-1.map,0,2,40,179,euclidean,0.061351776123046875,0.00858306884765625,3.0,True
maze512-16-1.map,0,3,249,240,manhattan,0.061351776123046875,0.007414817810058594,3.0,True
maze512-16-1.map,0,3,249,240,euclidean,0.061351776123046875,0.008153915405273438,3.0,True
maze512-16-1.map,0,4,69,235,manhattan,0.061351776123046875,0.01163482666015625,5.0,True
maze512-16-1.map,0,4,69,235,euclidean,0.061351776123046875,0.012993812561035156,5.0,True
maze512-16-1.map,0,5,262,231,manhattan,0.061351776123046875,0.012326240539550781,5.0,True
maze512-16-1.map,0,5,262,231,euclidean,0.061351776123046875,0.014209747314453125,5.0,True
maze512-16-1.map,0,6,456,110,manhattan,0.061351776123046875,0.023818016052246094,11.0,True
maze512-16-1.map,0,6,456,110,euclidean,0.061351776123046875,0.02574920654296875,11.0,True
maze512-16-1.map,0,7,15,483,manhattan,0.061351776123046875,0.015091896057128906,7.0,True
maze512-16-1.map,0,7,15,483,euclidean,0.061351776123046875,0.015974044799804688,7.0,True
maze512-16-1.map,0,8,337,54,manhattan,0.061351776123046875,0.012135505676269531,5.0,True
maze512-16-1.map,0,8,337,54,euclidean,0.061351776123046875,0.012707710266113281,5.0,True
maze512-16-1.map,0,9,20,257,manhattan,0.061351776123046875,0.016379356384277344,7.0,True
maze512-16-1.map,0,9,20,257,euclidean,0.061351776123046875,0.017714500427246094,7.0,True
maze512-16-1.map,1,10,82,105,manhattan,0.061351776123046875,0.06728172302246094,35.0,True
maze512-16-1.map,1,10,82,105,euclidean,0.061351776123046875,0.08158683776855469,41.0,True
maze512-16-1.map,1,11,139,299,manhattan,0.061351776123046875,0.031685829162597656,13.0,True
maze512-16-1.map,1,11,139,299,euclidean,0.061351776123046875,0.03178119659423828,13.0,True
maze512-16-1.map,1,12,158,268,manhattan,0.061351776123046875,0.011277198791503906,4.0,True
maze512-16-1.map,1,12,158,268,euclidean,0.061351776123046875,0.012326240539550781,4.0,True
maze512-16-1.map,1,13,47,99,manhattan,0.061351776123046875,0.04570484161376953,23.0,True
